+----------------------------------------------------------------------------------------------------------------------+------+
|                                                        title                                                         | year |
+----------------------------------------------------------------------------------------------------------------------+------+
| Wild Horses and Renegades                                                                                            | 2010 |
| Amaren ideia                                                                                                         | 2010 |
| Mountains That Take Wing: Angela Davis & Yuri Kochiyama - A Conversation on Life, Struggles & Liberation             | 2010 |
| Carolina, RI: The Smallest of the Small                                                                              | 2010 |
| I Breathe                                                                                                            | 2010 |
| Born to Be Our Children: Romanian Adoption Stories                                                                   | 2010 |
| If I Should Fall                                                                                                     | 2010 |
| Moonshine to the Finish Line: An Unofficial History of NASCAR                                                        | 2010 |
| Land of the Rising Fastball                                                                                          | 2010 |
| For Queen and Country                                                                                                | 2010 |
| Nickel City Smiler                                                                                                   | 2010 |
| Invisible Circus: No Dress Rehearsal                                                                                 | 2010 |
| Legends of La La                                                                                                     | 2010 |
| Knut Sigve fra Folkestad                                                                                             | 2010 |
| From the Midst of Pain                                                                                               | 2010 |
| The Wall                                                                                                             | 2010 |
| My Sexuality: A Sensory Experience                                                                                   | 2010 |
| Poor No More                                                                                                         | 2010 |
| Silent Drum                                                                                                          | 2010 |
| Zlin the lived Utopia                                                                                                | 2010 |
| Moy otets Evgeniy                                                                                                    | 2010 |
| Bots High                                                                                                            | 2010 |
| Stvarnost je takva kakva je                                                                                          | 2010 |
| Hurry Home                                                                                                           | 2010 |
| Die Haushaltshilfe                                                                                                   | 2010 |
| Soi Dogs                                                                                                             | 2010 |
| Healing Neen                                                                                                         | 2010 |
| Mzungu (n.) White-Wanderer                                                                                           | 2010 |
| Das Kind (L'enfant)                                                                                                  | 2010 |
| Labranza oculta                                                                                                      | 2010 |
| When My Child Is Born                                                                                                | 2010 |
| Everything In-Between: The Story of Ellipse                                                                          | 2010 |
| Kings of the Gambia                                                                                                  | 2010 |
| Wimbledon Official Film 2010                                                                                         | 2010 |
| Ageroland                                                                                                            | 2010 |
| Yasuni - dos segundos de vida                                                                                        | 2010 |
| Kino moje malo                                                                                                       | 2010 |
| Townbiz                                                                                                              | 2010 |
| Tebaatusasula                                                                                                        | 2010 |
| The Children's War                                                                                                   | 2010 |
